"OrganismCode","IEPFishCode","CommonName","NonNative","Phylum","Class","Order","Family","Genus","Species","Active"
"SMT","UNIOSM","smelt unknown","No","Chordata","Actinopterygii","Salmoniformes","Osmeridae",NA,NA,"1"
"SMU","STRMUL","striped mullet","no","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil","cephalus","1"
"SPACIF",NA,"Scrippsia pacifica","no","Cnidaria","Hydrozoa","Anthoathecatae","Polyorchidae","Scrippsia","pacifica","1"
"SPB","SPOBAS","spotted bass","yes","Chordata","Actinopterygii","Perciformes","Centrarchidae","Micropterus","punctulatus","1"
"SPCH","SPOSUR","spotfin surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","anale","1"
"SPK","SPESAN","speckled sanddab","no","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Citharichthys","stigmaeus","1"
"SPLT","SPLITT","splittail","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Pogonichthys","macrolepidotus","1"
"SPR","SACPER","Sacramento perch","no","Chordata","Actinopterygii","Perciformes","Centrarchidae","Archoplites","interruptus","0"
"SRF","SHIPER","shiner perch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Cymatogaster","aggregata","1"
"SSM","SURSME","surf smelt","no","Chordata","Actinopterygii","Salmoniformes","Osmeridae","Hypomesus","pretiosus","1"
"STB","STRBAS","striped bass","yes","Chordata","Actinopterygii","Perciformes","Moronidae","Morone","saxatilis","1"
"STF","STAFLO","starry flounder","no","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus","1"
"STSP","STRSEA","Striped Seaperch","no","Chordata","Osteichthyes","Perciformes","Embiotocidae","Embiotoca","lateralis","1"
"STU","UNIACI","sturgeon unknown",NA,"Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","Acipenser",NA,"0"
"SUC","UNICAT","sucker unknown",NA,"Chordata","Actinopterygii","Cypriniformes","Catostomidae",NA,NA,"0"
"SVR","SILSUR","silver surfperch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hyperprosopon","ellipticum","1"
"TC","TUICHU","tui chub","no","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","Gila","bicolor","1"
"TFS","THRSHA","threadfin shad","yes","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Dorosoma","petenense","1"
"TGO","TIDGOB","tidewater goby","no","Chordata","Actinopterygii","Perciformes","Gobiidae","Eucyclogobius","newberryi","0"
"THORNB","THORNB","Thornback Ray",NA,"Chordata","Chondrichthyes","Rajiformes","Platyrhinidae","Platyrhinoidis","triseriata","1"
"TP","TULPER","tule perch","no","Chordata","Actinopterygii","Perciformes","Embiotocidae","Hysterocarpus","traskii","1"
"TPS","TIDSCU","tidepool sculpin","No","Chordata","Osteichthyes","Scorpaeniformes","Cottidae","Oligocottus","maculosus","1"
"TSM","TOPSME","topsmelt","no","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinops","affinis","1"
"TSS","THRSTI","threespine stickleback","no","Chordata","Actinopterygii","Gasterosteiformes","Gasterosteidae","Gasterosteus","aculeatus","1"
"UNID",NA,"unid fish",NA,"Chordata",NA,NA,NA,NA,NA,"1"
